cell_id,env,stress_config,method,n_seeds,seeds_spec,role
GraphNavWorld_R1_envprobe_simple,GraphNavWorld,R1,envprobe_simple,60,42:101,robustness
GraphNavWorld_R1_oracle_probe,GraphNavWorld,R1,oracle_probe,60,42:101,robustness
ObjectStateWorld_R2_no_probe,ObjectStateWorld,R2,no_probe,60,42:101,robustness
ObjectStateWorld_R2_periodic_probe,ObjectStateWorld,R2,periodic_probe,60,42:101,robustness
ObjectStateWorld_R2_envprobe_simple,ObjectStateWorld,R2,envprobe_simple,60,42:101,robustness
ObjectStateWorld_R2_oracle_probe,ObjectStateWorld,R2,oracle_probe,60,42:101,robustness
ToolDAGWorld_R2_no_probe,ToolDAGWorld,R2,no_probe,60,42:101,robustness
ToolDAGWorld_R2_periodic_probe,ToolDAGWorld,R2,periodic_probe,60,42:101,robustness
ToolDAGWorld_R2_envprobe_simple,ToolDAGWorld,R2,envprobe_simple,60,42:101,robustness
ToolDAGWorld_R2_oracle_probe,ToolDAGWorld,R2,oracle_probe,60,42:101,robustness
GraphNavWorld_R2_no_probe,GraphNavWorld,R2,no_probe,60,42:101,robustness
GraphNavWorld_R2_periodic_probe,GraphNavWorld,R2,periodic_probe,60,42:101,robustness
GraphNavWorld_R2_envprobe_simple,GraphNavWorld,R2,envprobe_simple,60,42:101,robustness
GraphNavWorld_R2_oracle_probe,GraphNavWorld,R2,oracle_probe,60,42:101,robustness
ObjectStateWorld_R3_no_probe,ObjectStateWorld,R3,no_probe,60,42:101,robustness
ObjectStateWorld_R3_periodic_probe,ObjectStateWorld,R3,periodic_probe,60,42:101,robustness
ObjectStateWorld_R3_envprobe_simple,ObjectStateWorld,R3,envprobe_simple,60,42:101,robustness
ObjectStateWorld_R3_oracle_probe,ObjectStateWorld,R3,oracle_probe,60,42:101,robustness
ToolDAGWorld_R3_no_probe,ToolDAGWorld,R3,no_probe,60,42:101,robustness
ToolDAGWorld_R3_periodic_probe,ToolDAGWorld,R3,periodic_probe,60,42:101,robustness
ToolDAGWorld_R3_envprobe_simple,ToolDAGWorld,R3,envprobe_simple,60,42:101,robustness
ToolDAGWorld_R3_oracle_probe,ToolDAGWorld,R3,oracle_probe,60,42:101,robustness
GraphNavWorld_R3_no_probe,GraphNavWorld,R3,no_probe,60,42:101,robustness
GraphNavWorld_R3_periodic_probe,GraphNavWorld,R3,periodic_probe,60,42:101,robustness
GraphNavWorld_R3_envprobe_simple,GraphNavWorld,R3,envprobe_simple,60,42:101,robustness
GraphNavWorld_R3_oracle_probe,GraphNavWorld,R3,oracle_probe,60,42:101,robustness
ObjectStateWorld_R4_no_probe,ObjectStateWorld,R4,no_probe,60,42:101,robustness
ObjectStateWorld_R4_periodic_probe,ObjectStateWorld,R4,periodic_probe,60,42:101,robustness
ObjectStateWorld_R4_envprobe_simple,ObjectStateWorld,R4,envprobe_simple,60,42:101,robustness
ObjectStateWorld_R4_oracle_probe,ObjectStateWorld,R4,oracle_probe,60,42:101,robustness
ToolDAGWorld_R4_no_probe,ToolDAGWorld,R4,no_probe,60,42:101,robustness
ToolDAGWorld_R4_periodic_probe,ToolDAGWorld,R4,periodic_probe,60,42:101,robustness
ToolDAGWorld_R4_envprobe_simple,ToolDAGWorld,R4,envprobe_simple,60,42:101,robustness
ToolDAGWorld_R4_oracle_probe,ToolDAGWorld,R4,oracle_probe,60,42:101,robustness
GraphNavWorld_R4_no_probe,GraphNavWorld,R4,no_probe,60,42:101,robustness
GraphNavWorld_R4_periodic_probe,GraphNavWorld,R4,periodic_probe,60,42:101,robustness
GraphNavWorld_R4_envprobe_simple,GraphNavWorld,R4,envprobe_simple,60,42:101,robustness
GraphNavWorld_R4_oracle_probe,GraphNavWorld,R4,oracle_probe,60,42:101,robustness
ObjectStateWorld_R6_no_probe,ObjectStateWorld,R6,no_probe,60,42:101,robustness
ObjectStateWorld_R6_periodic_probe,ObjectStateWorld,R6,periodic_probe,60,42:101,robustness
ObjectStateWorld_R6_envprobe_simple,ObjectStateWorld,R6,envprobe_simple,60,42:101,robustness
ObjectStateWorld_R6_oracle_probe,ObjectStateWorld,R6,oracle_probe,60,42:101,robustness
ToolDAGWorld_R6_no_probe,ToolDAGWorld,R6,no_probe,60,42:101,robustness
ToolDAGWorld_R6_periodic_probe,ToolDAGWorld,R6,periodic_probe,60,42:101,robustness
ToolDAGWorld_R6_envprobe_simple,ToolDAGWorld,R6,envprobe_simple,60,42:101,robustness
ToolDAGWorld_R6_oracle_probe,ToolDAGWorld,R6,oracle_probe,60,42:101,robustness
GraphNavWorld_R6_no_probe,GraphNavWorld,R6,no_probe,60,42:101,robustness
GraphNavWorld_R6_periodic_probe,GraphNavWorld,R6,periodic_probe,60,42:101,robustness
GraphNavWorld_R6_envprobe_simple,GraphNavWorld,R6,envprobe_simple,60,42:101,robustness
GraphNavWorld_R6_oracle_probe,GraphNavWorld,R6,oracle_probe,60,42:101,robustness
ObjectStateWorld_S2_envprobe_simple_minus_c,ObjectStateWorld,S2,envprobe_simple_minus_c,220,42:261,ablation
ObjectStateWorld_S2_envprobe_simple_minus_s,ObjectStateWorld,S2,envprobe_simple_minus_s,220,42:261,ablation
ObjectStateWorld_S2_envprobe_simple_minus_u,ObjectStateWorld,S2,envprobe_simple_minus_u,220,42:261,ablation
ObjectStateWorld_S2_envprobe_simple_minus_d,ObjectStateWorld,S2,envprobe_simple_minus_d,220,42:261,ablation
ToolDAGWorld_S2_envprobe_simple_minus_c,ToolDAGWorld,S2,envprobe_simple_minus_c,220,42:261,ablation
ToolDAGWorld_S2_envprobe_simple_minus_s,ToolDAGWorld,S2,envprobe_simple_minus_s,220,42:261,ablation
ToolDAGWorld_S2_envprobe_simple_minus_u,ToolDAGWorld,S2,envprobe_simple_minus_u,220,42:261,ablation
ToolDAGWorld_S2_envprobe_simple_minus_d,ToolDAGWorld,S2,envprobe_simple_minus_d,220,42:261,ablation
GraphNavWorld_S2_envprobe_simple_minus_c,GraphNavWorld,S2,envprobe_simple_minus_c,220,42:261,ablation
GraphNavWorld_S2_envprobe_simple_minus_s,GraphNavWorld,S2,envprobe_simple_minus_s,220,42:261,ablation
GraphNavWorld_S2_envprobe_simple_minus_u,GraphNavWorld,S2,envprobe_simple_minus_u,220,42:261,ablation
GraphNavWorld_S2_envprobe_simple_minus_d,GraphNavWorld,S2,envprobe_simple_minus_d,220,42:261,ablation
ObjectStateWorld_S2_envprobe_simple_cd,ObjectStateWorld,S2,envprobe_simple_cd,220,42:261,revision_cd
ToolDAGWorld_S2_envprobe_simple_cd,ToolDAGWorld,S2,envprobe_simple_cd,220,42:261,revision_cd
GraphNavWorld_S2_envprobe_simple_cd,GraphNavWorld,S2,envprobe_simple_cd,220,42:261,revision_cd
ObjectStateWorld_S2_oracle_task_weighted,ObjectStateWorld,S2,oracle_task_weighted,220,42:261,revision_oracle_tw
ToolDAGWorld_S2_oracle_task_weighted,ToolDAGWorld,S2,oracle_task_weighted,220,42:261,revision_oracle_tw
GraphNavWorld_S2_oracle_task_weighted,GraphNavWorld,S2,oracle_task_weighted,220,42:261,revision_oracle_tw
ToolDAGWorld_S2_no_probe_r3pilot,ToolDAGWorld,S2,no_probe,50,42:91,r3_rescore_pilot
ToolDAGWorld_S2_envprobe_simple_r3pilot,ToolDAGWorld,S2,envprobe_simple,50,42:91,r3_rescore_pilot
ToolDAGWorld_S2_envprobe_simple_cd_r3pilot,ToolDAGWorld,S2,envprobe_simple_cd,50,42:91,r3_rescore_pilot
ToolDAGWorld_S2_no_probe_r3pilot_stageB,ToolDAGWorld,S2,no_probe,10,42:51,r3_stage_b_pilot
ToolDAGWorld_S2_envprobe_simple_r3pilot_stageB,ToolDAGWorld,S2,envprobe_simple,10,42:51,r3_stage_b_pilot
ToolDAGWorld_S2_envprobe_simple_cd_r3pilot_stageB,ToolDAGWorld,S2,envprobe_simple_cd,10,42:51,r3_stage_b_pilot
ToolDAGWorld_S2_no_probe_r3D,ToolDAGWorld,S2,no_probe,220,42:261,r3_stage_d
ToolDAGWorld_S2_random_probe_r3D,ToolDAGWorld,S2,random_probe,220,42:261,r3_stage_d
ToolDAGWorld_S2_periodic_probe_r3D,ToolDAGWorld,S2,periodic_probe,220,42:261,r3_stage_d
ToolDAGWorld_S2_envprobe_simple_r3D,ToolDAGWorld,S2,envprobe_simple,220,42:261,r3_stage_d
ToolDAGWorld_S2_envprobe_simple_cd_r3D,ToolDAGWorld,S2,envprobe_simple_cd,220,42:261,r3_stage_d
ToolDAGWorld_S2_envprobe_simple_minus_c_r3D,ToolDAGWorld,S2,envprobe_simple_minus_c,220,42:261,r3_stage_d_ablation
ToolDAGWorld_S2_envprobe_simple_minus_s_r3D,ToolDAGWorld,S2,envprobe_simple_minus_s,220,42:261,r3_stage_d_ablation
ToolDAGWorld_S2_envprobe_simple_minus_u_r3D,ToolDAGWorld,S2,envprobe_simple_minus_u,220,42:261,r3_stage_d_ablation
ToolDAGWorld_S2_envprobe_simple_minus_d_r3D,ToolDAGWorld,S2,envprobe_simple_minus_d,220,42:261,r3_stage_d_ablation
ToolDAGWorld_S2_oracle_task_weighted_r3D,ToolDAGWorld,S2,oracle_task_weighted,220,42:261,r3_stage_d_tw
